Runned At: 2023-11-27 22:50:12 with status 
Runned At: 2023-11-27 22:59:14 with status success 
Runned At: 2023-11-27 22:59:38 with status failed ' You have provided one or more invalid Currency Codes. [Required format: currencies=EUR,USD,GBP,...] ' 
Runned At: 2023-11-27 22:59:56 with status failed ' You have entered an invalid date. [Required format: date=YYYY-MM-DD] ' 
Runned At: 2023-11-27 23:01:10 with status failed ' get request failed ' 
Runned At: 2023-11-27 23:01:29 with status success 
Runned At: 2023-11-27 23:02:47 with status success 
Runned At: 2023-11-27 23:02:47 with status success 
Runned At: 2023-11-27 23:03:10 with status success 
Runned At: 2023-11-27 23:03:10 with status success 
Runned At: 2023-11-27 23:03:10 with status success 
Runned At: 2023-11-27 23:05:30 with status success 
Runned At: 2023-11-27 23:05:30 with status success 
Runned At: 2023-11-27 23:05:30 with status success 
Runned At: 2023-11-27 23:25:05 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
Runned At: 2023-11-27 23:53:22 with status success 
